ticket_text,category,priority,predicted_eta,complexity,sentiment,confidence_score,raw_sentiment_score
en todos los aos que tengo volando con nunca haba tenido una experiencia como la de ayer 24 vuelo 914 caracasmiami la peor tripulacin desagradable descorts y con poca vocacin de servicio,billing,high,1.5,moderate,neutral,0.0,0.0
sorry for the confusion please dm me and i can help you ga,billing,high,1.8,simple,neutral,0.0,0.0
thanks for your patience hck,billing,high,1.1,simple,positive,1.0,1.0
how od i edit purchase order number,billing,high,1.2,simple,neutral,0.0,0.0
looks like that sunset over denver just photobombed our winglet either way the results are pretty great thanks for sharing neil as,billing,high,2.3,moderate,very_positive,2.0,2.0
are the call centres closed for the night,billing,high,1.9,simple,neutral,0.0,0.0
im sorry for the trouble lets go over your available options here ll,billing,high,1.3,simple,neutral,0.0,0.0
wed be happy to look into this with you further dm us using the link below and well go from there,billing,high,1.5,moderate,neutral,0.0,0.0
sorry for the delayed reply if youre still running into trouble let us know the device in use and try,billing,high,1.8,moderate,neutral,0.0,0.0
how can i swap something of order order number,technical,high,2.3,simple,neutral,0.0,0.0
maybe next year we cant wait to welcome you onboard matthew we hope you have a wonderful flight mk,billing,high,2.0,moderate,neutral,0.0,0.0
i thought i was replying to you directly,billing,high,1.8,simple,neutral,0.0,0.0
hi daniel can you send us the link to the idea you posted well take a look at what happened nh,technical,high,3.1,moderate,neutral,0.0,0.0
none on there,billing,high,1.9,simple,neutral,0.0,0.0
hi i lost my phone in an uber app asks me to submit my phone number to make contacti only had mobile as travelling,technical,high,2.7,moderate,neutral,0.0,0.0
im sorry the earlier flight may not have been available at the time of your scheduled change tmt,billing,high,1.0,simple,neutral,0.0,0.0
today is the day that lost my business for the rest of my life as well as everyone in my family,billing,high,1.2,moderate,neutral,0.0,0.0
gtall of verizon is downlt when can we expect a fix,technical,high,1.9,simple,neutral,0.0,0.0
while the coach plans can be weeks in time its up to you to decide what fits you best 22,technical,high,4.3,moderate,neutral,0.0,0.0
hi emma could you please follow us so we can dm you again with the email reply sent to you yana,billing,high,2.4,moderate,neutral,0.0,0.0
