ticket_text,true_category,predicted_category,true_priority,predicted_priority,predicted_sentiment,predicted_hours,category_correct,priority_correct
if you could dm your journey detailsbooking reference we can take a look in to this and reserve the spaces where possible cb,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
heres hoping we stay top of the leaderboard,general_inquiry,general_inquiry,medium,medium,positive,2.0,True,True
help me modifying purchase order number,ORDER,ORDER,high,medium,neutral,2.0,True,False
to the person or persons that stole that big heavy amazon box of my porch today enjoy 200 13 gallon garbage bags,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
need help deleting something from purchase order number,ORDER,ORDER,high,medium,neutral,2.0,True,False
pls followdm your confirmation or ticket number to take a look afm,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
hi there i am so sorry to hear that is there something i can help with,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
i need to change some items of order order number,ORDER,general_inquiry,medium,medium,positive,2.0,False,True
no problem you may need to deregister the kindle from the old account you can see how here aj,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
we always want everyone to be comfy you can ask our crew about any available open seats,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
i assure you im areal person caesar abn,general_inquiry,general_inquiry,medium,medium,positive,2.0,True,True
i have to cancel purchase order number,ORDER,ORDER,medium,medium,neutral,2.0,True,True
but i hope it will come as an option in the future everybody wants this,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
i want to modify order order number how to do it,ORDER,general_inquiry,medium,medium,positive,2.0,False,True
how to delete an article from order order number,ORDER,general_inquiry,medium,medium,positive,2.0,False,True
both 18 down and 17 up wired and 8 down and 7 up wireless,general_inquiry,general_inquiry,high,medium,neutral,2.0,True,False
hola val damon puedes hacer una prueba gratuita de prime video si nunca lo has usado accesa este enlace jj,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
i assume that being sapphire does not matter ill have to find a way from iad to bwi upon landing because thats where my car is parked,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
pls check dm,general_inquiry,general_inquiry,medium,medium,positive,2.0,True,True
disgraceful flew club europe got crushed knees flew tui loads of room not wasting money with again,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
mi plaga se llama virgin mobile promociones bsicamente me estn robando,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
i need to change some articles of order order number,ORDER,general_inquiry,medium,medium,positive,2.0,False,True
i try to change several products of order order number,ORDER,general_inquiry,medium,medium,positive,2.0,False,True
youd have to speak with our crew and ask what is available it would need to be in the same cabin and in the same type of seat,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
you can dm us directly but no worries i am submitting the request cs,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
i have got to edit order order number,ORDER,general_inquiry,medium,medium,positive,2.0,False,True
bummer might have to watch my back on nov 13 too for sadie hawkins day on the airline of luv,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
the fair thing would have been to allow me to step away 2 pay it was not specified in any email to pre book to avoid paying 127 per bag,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
anxiety frustration and inconvenience that we have caused tjn 22,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
hello there i would like to take a look into your billing issues for you can you please send a dm with your fir,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
i get that its halloween but this dude at the canonsburg is flipping out literally screaming he said hes the general manager,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
3 burritos for anyone in a halloween costume today 3pmclose,general_inquiry,ORDER,medium,medium,neutral,2.0,False,True
hi stephen follow and dm us more info along with your mums contact details helen,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
whats the story with broken pro clubs,general_inquiry,general_inquiry,high,medium,positive,2.0,True,False
i dont want order order number,ORDER,SHIPPING,medium,medium,neutral,2.0,False,True
i do not know what to do to cancel order order number,ORDER,general_inquiry,medium,medium,negative,2.6,False,True
good luck trying to take the crown from us,general_inquiry,general_inquiry,medium,medium,positive,2.0,True,True
please dm us more details about your experience so we can take a further look and help prevent this from happening thanks for your patience,general_inquiry,general_inquiry,medium,medium,positive,2.0,True,True
thanks it looks like that domain isnt registered with us though do you have any domains with godaddyw,general_inquiry,SHIPPING,medium,medium,positive,2.0,False,True
can i dress up as myself and still qualify for a boorito,general_inquiry,general_inquiry,medium,medium,neutral,2.0,True,True
its now a police matter you could check the police report,general_inquiry,general_inquiry,medium,medium,positive,2.6,True,True
i no longer want purchase order number can you cancel it,ORDER,general_inquiry,medium,medium,negative,2.0,False,True
help editing order order number,ORDER,ORDER,high,medium,neutral,2.0,True,False
i do not know how i can canmcel order order number,ORDER,general_inquiry,medium,medium,negative,2.6,False,True
any idea whats going on with preston trains will they be running,general_inquiry,general_inquiry,medium,medium,negative,2.0,True,True
some of the worst delivery service i have ever received in my life,general_inquiry,general_inquiry,medium,medium,negative,2.0,True,True
i need to remove an article from purchase order number,ORDER,general_inquiry,medium,medium,positive,2.0,False,True
i can no longer afford purchase order number cancel it,ORDER,general_inquiry,medium,medium,positive,2.0,False,True
assistance with hcanging order order number,ORDER,ORDER,medium,medium,neutral,2.0,True,True
i love this tradition i have confidence the costumes will keep getting better and better becky,general_inquiry,general_inquiry,medium,medium,positive,2.0,True,True
